image,label
./imagesTr/spleen_31.nii.gz,./labelsTr/spleen_31.nii.gz
./imagesTr/spleen_40.nii.gz,./labelsTr/spleen_40.nii.gz
./imagesTr/spleen_3.nii.gz,./labelsTr/spleen_3.nii.gz
./imagesTr/spleen_17.nii.gz,./labelsTr/spleen_17.nii.gz
./imagesTr/spleen_21.nii.gz,./labelsTr/spleen_21.nii.gz
./imagesTr/spleen_33.nii.gz,./labelsTr/spleen_33.nii.gz
./imagesTr/spleen_9.nii.gz,./labelsTr/spleen_9.nii.gz
./imagesTr/spleen_29.nii.gz,./labelsTr/spleen_29.nii.gz
./imagesTr/spleen_46.nii.gz,./labelsTr/spleen_46.nii.gz
./imagesTr/spleen_25.nii.gz,./labelsTr/spleen_25.nii.gz
./imagesTr/spleen_13.nii.gz,./labelsTr/spleen_13.nii.gz
./imagesTr/spleen_27.nii.gz,./labelsTr/spleen_27.nii.gz
./imagesTr/spleen_44.nii.gz,./labelsTr/spleen_44.nii.gz
./imagesTr/spleen_56.nii.gz,./labelsTr/spleen_56.nii.gz
./imagesTr/spleen_60.nii.gz,./labelsTr/spleen_60.nii.gz
./imagesTr/spleen_2.nii.gz,./labelsTr/spleen_2.nii.gz
./imagesTr/spleen_53.nii.gz,./labelsTr/spleen_53.nii.gz
./imagesTr/spleen_41.nii.gz,./labelsTr/spleen_41.nii.gz
./imagesTr/spleen_22.nii.gz,./labelsTr/spleen_22.nii.gz
./imagesTr/spleen_14.nii.gz,./labelsTr/spleen_14.nii.gz
./imagesTr/spleen_18.nii.gz,./labelsTr/spleen_18.nii.gz
./imagesTr/spleen_20.nii.gz,./labelsTr/spleen_20.nii.gz
./imagesTr/spleen_32.nii.gz,./labelsTr/spleen_32.nii.gz
./imagesTr/spleen_16.nii.gz,./labelsTr/spleen_16.nii.gz
./imagesTr/spleen_63.nii.gz,./labelsTr/spleen_63.nii.gz
./imagesTr/spleen_59.nii.gz,./labelsTr/spleen_59.nii.gz
./imagesTr/spleen_47.nii.gz,./labelsTr/spleen_47.nii.gz
./imagesTr/spleen_8.nii.gz,./labelsTr/spleen_8.nii.gz
./imagesTr/spleen_6.nii.gz,./labelsTr/spleen_6.nii.gz
./imagesTr/spleen_61.nii.gz,./labelsTr/spleen_61.nii.gz
./imagesTr/spleen_38.nii.gz,./labelsTr/spleen_38.nii.gz
./imagesTr/spleen_45.nii.gz,./labelsTr/spleen_45.nii.gz
./imagesTr/spleen_26.nii.gz,./labelsTr/spleen_26.nii.gz
