image,label
./imagesTr/colon_219.nii.gz,./labelsTr/colon_219.nii.gz
./imagesTr/colon_215.nii.gz,./labelsTr/colon_215.nii.gz
./imagesTr/colon_194.nii.gz,./labelsTr/colon_194.nii.gz
./imagesTr/colon_051.nii.gz,./labelsTr/colon_051.nii.gz
./imagesTr/colon_032.nii.gz,./labelsTr/colon_032.nii.gz
./imagesTr/colon_143.nii.gz,./labelsTr/colon_143.nii.gz
./imagesTr/colon_075.nii.gz,./labelsTr/colon_075.nii.gz
./imagesTr/colon_175.nii.gz,./labelsTr/colon_175.nii.gz
./imagesTr/colon_008.nii.gz,./labelsTr/colon_008.nii.gz
./imagesTr/colon_108.nii.gz,./labelsTr/colon_108.nii.gz
./imagesTr/colon_104.nii.gz,./labelsTr/colon_104.nii.gz
./imagesTr/colon_022.nii.gz,./labelsTr/colon_022.nii.gz
./imagesTr/colon_122.nii.gz,./labelsTr/colon_122.nii.gz
./imagesTr/colon_141.nii.gz,./labelsTr/colon_141.nii.gz
./imagesTr/colon_030.nii.gz,./labelsTr/colon_030.nii.gz
./imagesTr/colon_106.nii.gz,./labelsTr/colon_106.nii.gz
./imagesTr/colon_165.nii.gz,./labelsTr/colon_165.nii.gz
./imagesTr/colon_065.nii.gz,./labelsTr/colon_065.nii.gz
./imagesTr/colon_118.nii.gz,./labelsTr/colon_118.nii.gz
./imagesTr/colon_169.nii.gz,./labelsTr/colon_169.nii.gz
./imagesTr/colon_114.nii.gz,./labelsTr/colon_114.nii.gz
./imagesTr/colon_077.nii.gz,./labelsTr/colon_077.nii.gz
./imagesTr/colon_217.nii.gz,./labelsTr/colon_217.nii.gz
./imagesTr/colon_096.nii.gz,./labelsTr/colon_096.nii.gz
./imagesTr/colon_088.nii.gz,./labelsTr/colon_088.nii.gz
./imagesTr/colon_061.nii.gz,./labelsTr/colon_061.nii.gz
./imagesTr/colon_149.nii.gz,./labelsTr/colon_149.nii.gz
./imagesTr/colon_157.nii.gz,./labelsTr/colon_157.nii.gz
./imagesTr/colon_126.nii.gz,./labelsTr/colon_126.nii.gz
./imagesTr/colon_038.nii.gz,./labelsTr/colon_038.nii.gz
./imagesTr/colon_138.nii.gz,./labelsTr/colon_138.nii.gz
./imagesTr/colon_092.nii.gz,./labelsTr/colon_092.nii.gz
./imagesTr/colon_201.nii.gz,./labelsTr/colon_201.nii.gz
./imagesTr/colon_213.nii.gz,./labelsTr/colon_213.nii.gz
./imagesTr/colon_203.nii.gz,./labelsTr/colon_203.nii.gz
./imagesTr/colon_163.nii.gz,./labelsTr/colon_163.nii.gz
./imagesTr/colon_012.nii.gz,./labelsTr/colon_012.nii.gz
./imagesTr/colon_112.nii.gz,./labelsTr/colon_112.nii.gz
./imagesTr/colon_024.nii.gz,./labelsTr/colon_024.nii.gz
./imagesTr/colon_159.nii.gz,./labelsTr/colon_159.nii.gz
./imagesTr/colon_136.nii.gz,./labelsTr/colon_136.nii.gz
./imagesTr/colon_036.nii.gz,./labelsTr/colon_036.nii.gz
./imagesTr/colon_117.nii.gz,./labelsTr/colon_117.nii.gz
./imagesTr/colon_074.nii.gz,./labelsTr/colon_074.nii.gz
./imagesTr/colon_005.nii.gz,./labelsTr/colon_005.nii.gz
./imagesTr/colon_078.nii.gz,./labelsTr/colon_078.nii.gz
./imagesTr/colon_066.nii.gz,./labelsTr/colon_066.nii.gz
./imagesTr/colon_166.nii.gz,./labelsTr/colon_166.nii.gz
./imagesTr/colon_033.nii.gz,./labelsTr/colon_033.nii.gz
./imagesTr/colon_050.nii.gz,./labelsTr/colon_050.nii.gz
./imagesTr/colon_142.nii.gz,./labelsTr/colon_142.nii.gz
./imagesTr/colon_042.nii.gz,./labelsTr/colon_042.nii.gz
./imagesTr/colon_187.nii.gz,./labelsTr/colon_187.nii.gz
./imagesTr/colon_099.nii.gz,./labelsTr/colon_099.nii.gz
./imagesTr/colon_206.nii.gz,./labelsTr/colon_206.nii.gz
./imagesTr/colon_218.nii.gz,./labelsTr/colon_218.nii.gz
./imagesTr/colon_214.nii.gz,./labelsTr/colon_214.nii.gz
./imagesTr/colon_208.nii.gz,./labelsTr/colon_208.nii.gz
./imagesTr/colon_064.nii.gz,./labelsTr/colon_064.nii.gz
./imagesTr/colon_164.nii.gz,./labelsTr/colon_164.nii.gz
./imagesTr/colon_007.nii.gz,./labelsTr/colon_007.nii.gz
./imagesTr/colon_107.nii.gz,./labelsTr/colon_107.nii.gz
./imagesTr/colon_176.nii.gz,./labelsTr/colon_176.nii.gz
./imagesTr/colon_115.nii.gz,./labelsTr/colon_115.nii.gz
./imagesTr/colon_015.nii.gz,./labelsTr/colon_015.nii.gz
./imagesTr/colon_140.nii.gz,./labelsTr/colon_140.nii.gz
./imagesTr/colon_040.nii.gz,./labelsTr/colon_040.nii.gz
./imagesTr/colon_031.nii.gz,./labelsTr/colon_031.nii.gz
./imagesTr/colon_131.nii.gz,./labelsTr/colon_131.nii.gz
./imagesTr/colon_212.nii.gz,./labelsTr/colon_212.nii.gz
./imagesTr/colon_081.nii.gz,./labelsTr/colon_081.nii.gz
./imagesTr/colon_139.nii.gz,./labelsTr/colon_139.nii.gz
./imagesTr/colon_039.nii.gz,./labelsTr/colon_039.nii.gz
./imagesTr/colon_127.nii.gz,./labelsTr/colon_127.nii.gz
./imagesTr/colon_027.nii.gz,./labelsTr/colon_027.nii.gz
./imagesTr/colon_172.nii.gz,./labelsTr/colon_172.nii.gz
./imagesTr/colon_072.nii.gz,./labelsTr/colon_072.nii.gz
./imagesTr/colon_111.nii.gz,./labelsTr/colon_111.nii.gz
./imagesTr/colon_011.nii.gz,./labelsTr/colon_011.nii.gz
./imagesTr/colon_103.nii.gz,./labelsTr/colon_103.nii.gz
./imagesTr/colon_025.nii.gz,./labelsTr/colon_025.nii.gz
./imagesTr/colon_137.nii.gz,./labelsTr/colon_137.nii.gz
./imagesTr/colon_054.nii.gz,./labelsTr/colon_054.nii.gz
./imagesTr/colon_154.nii.gz,./labelsTr/colon_154.nii.gz
./imagesTr/colon_029.nii.gz,./labelsTr/colon_029.nii.gz
./imagesTr/colon_129.nii.gz,./labelsTr/colon_129.nii.gz
./imagesTr/colon_001.nii.gz,./labelsTr/colon_001.nii.gz
./imagesTr/colon_162.nii.gz,./labelsTr/colon_162.nii.gz
