image,label
./imagesTr/liver_69.nii.gz,./labelsTr/liver_69.nii.gz
./imagesTr/liver_77.nii.gz,./labelsTr/liver_77.nii.gz
./imagesTr/liver_120.nii.gz,./labelsTr/liver_120.nii.gz
./imagesTr/liver_18.nii.gz,./labelsTr/liver_18.nii.gz
./imagesTr/liver_30.nii.gz,./labelsTr/liver_30.nii.gz
./imagesTr/liver_116.nii.gz,./labelsTr/liver_116.nii.gz
./imagesTr/liver_53.nii.gz,./labelsTr/liver_53.nii.gz
./imagesTr/liver_22.nii.gz,./labelsTr/liver_22.nii.gz
./imagesTr/liver_104.nii.gz,./labelsTr/liver_104.nii.gz
./imagesTr/liver_41.nii.gz,./labelsTr/liver_41.nii.gz
./imagesTr/liver_96.nii.gz,./labelsTr/liver_96.nii.gz
./imagesTr/liver_88.nii.gz,./labelsTr/liver_88.nii.gz
./imagesTr/liver_84.nii.gz,./labelsTr/liver_84.nii.gz
./imagesTr/liver_1.nii.gz,./labelsTr/liver_1.nii.gz
./imagesTr/liver_86.nii.gz,./labelsTr/liver_86.nii.gz
./imagesTr/liver_94.nii.gz,./labelsTr/liver_94.nii.gz
./imagesTr/liver_67.nii.gz,./labelsTr/liver_67.nii.gz
./imagesTr/liver_122.nii.gz,./labelsTr/liver_122.nii.gz
./imagesTr/liver_79.nii.gz,./labelsTr/liver_79.nii.gz
./imagesTr/liver_75.nii.gz,./labelsTr/liver_75.nii.gz
./imagesTr/liver_16.nii.gz,./labelsTr/liver_16.nii.gz
./imagesTr/liver_118.nii.gz,./labelsTr/liver_118.nii.gz
./imagesTr/liver_43.nii.gz,./labelsTr/liver_43.nii.gz
./imagesTr/liver_106.nii.gz,./labelsTr/liver_106.nii.gz
./imagesTr/liver_20.nii.gz,./labelsTr/liver_20.nii.gz
./imagesTr/liver_51.nii.gz,./labelsTr/liver_51.nii.gz
./imagesTr/liver_32.nii.gz,./labelsTr/liver_32.nii.gz
./imagesTr/liver_7.nii.gz,./labelsTr/liver_7.nii.gz
./imagesTr/liver_90.nii.gz,./labelsTr/liver_90.nii.gz
./imagesTr/liver_82.nii.gz,./labelsTr/liver_82.nii.gz
./imagesTr/liver_28.nii.gz,./labelsTr/liver_28.nii.gz
./imagesTr/liver_36.nii.gz,./labelsTr/liver_36.nii.gz
./imagesTr/liver_102.nii.gz,./labelsTr/liver_102.nii.gz
./imagesTr/liver_24.nii.gz,./labelsTr/liver_24.nii.gz
./imagesTr/liver_71.nii.gz,./labelsTr/liver_71.nii.gz
./imagesTr/liver_12.nii.gz,./labelsTr/liver_12.nii.gz
./imagesTr/liver_126.nii.gz,./labelsTr/liver_126.nii.gz
./imagesTr/liver_100.nii.gz,./labelsTr/liver_100.nii.gz
