image,label
./imagesTr/hippocampus_367.nii.gz,./labelsTr/hippocampus_367.nii.gz
./imagesTr/hippocampus_204.nii.gz,./labelsTr/hippocampus_204.nii.gz
./imagesTr/hippocampus_279.nii.gz,./labelsTr/hippocampus_279.nii.gz
./imagesTr/hippocampus_308.nii.gz,./labelsTr/hippocampus_308.nii.gz
./imagesTr/hippocampus_375.nii.gz,./labelsTr/hippocampus_375.nii.gz
./imagesTr/hippocampus_216.nii.gz,./labelsTr/hippocampus_216.nii.gz
./imagesTr/hippocampus_189.nii.gz,./labelsTr/hippocampus_189.nii.gz
./imagesTr/hippocampus_243.nii.gz,./labelsTr/hippocampus_243.nii.gz
./imagesTr/hippocampus_220.nii.gz,./labelsTr/hippocampus_220.nii.gz
./imagesTr/hippocampus_097.nii.gz,./labelsTr/hippocampus_097.nii.gz
./imagesTr/hippocampus_320.nii.gz,./labelsTr/hippocampus_320.nii.gz
./imagesTr/hippocampus_197.nii.gz,./labelsTr/hippocampus_197.nii.gz
./imagesTr/hippocampus_251.nii.gz,./labelsTr/hippocampus_251.nii.gz
./imagesTr/hippocampus_185.nii.gz,./labelsTr/hippocampus_185.nii.gz
./imagesTr/hippocampus_232.nii.gz,./labelsTr/hippocampus_232.nii.gz
./imagesTr/hippocampus_298.nii.gz,./labelsTr/hippocampus_298.nii.gz
./imagesTr/hippocampus_152.nii.gz,./labelsTr/hippocampus_152.nii.gz
./imagesTr/hippocampus_052.nii.gz,./labelsTr/hippocampus_052.nii.gz
./imagesTr/hippocampus_386.nii.gz,./labelsTr/hippocampus_386.nii.gz
./imagesTr/hippocampus_286.nii.gz,./labelsTr/hippocampus_286.nii.gz
./imagesTr/hippocampus_040.nii.gz,./labelsTr/hippocampus_040.nii.gz
./imagesTr/hippocampus_294.nii.gz,./labelsTr/hippocampus_294.nii.gz
./imagesTr/hippocampus_023.nii.gz,./labelsTr/hippocampus_023.nii.gz
./imagesTr/hippocampus_394.nii.gz,./labelsTr/hippocampus_394.nii.gz
./imagesTr/hippocampus_123.nii.gz,./labelsTr/hippocampus_123.nii.gz
./imagesTr/hippocampus_176.nii.gz,./labelsTr/hippocampus_176.nii.gz
./imagesTr/hippocampus_015.nii.gz,./labelsTr/hippocampus_015.nii.gz
./imagesTr/hippocampus_068.nii.gz,./labelsTr/hippocampus_068.nii.gz
./imagesTr/hippocampus_064.nii.gz,./labelsTr/hippocampus_064.nii.gz
