image,label
./imagesTr/prostate_04.nii.gz,./labelsTr/prostate_04.nii.gz
./imagesTr/prostate_20.nii.gz,./labelsTr/prostate_20.nii.gz
./imagesTr/prostate_43.nii.gz,./labelsTr/prostate_43.nii.gz
./imagesTr/prostate_18.nii.gz,./labelsTr/prostate_18.nii.gz
./imagesTr/prostate_14.nii.gz,./labelsTr/prostate_14.nii.gz
./imagesTr/prostate_34.nii.gz,./labelsTr/prostate_34.nii.gz
./imagesTr/prostate_38.nii.gz,./labelsTr/prostate_38.nii.gz
./imagesTr/prostate_10.nii.gz,./labelsTr/prostate_10.nii.gz
./imagesTr/prostate_02.nii.gz,./labelsTr/prostate_02.nii.gz
./imagesTr/prostate_00.nii.gz,./labelsTr/prostate_00.nii.gz
./imagesTr/prostate_42.nii.gz,./labelsTr/prostate_42.nii.gz
./imagesTr/prostate_17.nii.gz,./labelsTr/prostate_17.nii.gz
./imagesTr/prostate_31.nii.gz,./labelsTr/prostate_31.nii.gz
./imagesTr/prostate_07.nii.gz,./labelsTr/prostate_07.nii.gz
./imagesTr/prostate_35.nii.gz,./labelsTr/prostate_35.nii.gz
./imagesTr/prostate_44.nii.gz,./labelsTr/prostate_44.nii.gz
./imagesTr/prostate_39.nii.gz,./labelsTr/prostate_39.nii.gz
./imagesTr/prostate_01.nii.gz,./labelsTr/prostate_01.nii.gz
./imagesTr/prostate_13.nii.gz,./labelsTr/prostate_13.nii.gz
./imagesTr/prostate_46.nii.gz,./labelsTr/prostate_46.nii.gz
./imagesTr/prostate_29.nii.gz,./labelsTr/prostate_29.nii.gz
./imagesTr/prostate_37.nii.gz,./labelsTr/prostate_37.nii.gz
