image,label
./imagesTr/pancreas_127.nii.gz,./labelsTr/pancreas_127.nii.gz
./imagesTr/pancreas_056.nii.gz,./labelsTr/pancreas_056.nii.gz
./imagesTr/pancreas_148.nii.gz,./labelsTr/pancreas_148.nii.gz
./imagesTr/pancreas_048.nii.gz,./labelsTr/pancreas_048.nii.gz
./imagesTr/pancreas_135.nii.gz,./labelsTr/pancreas_135.nii.gz
./imagesTr/pancreas_382.nii.gz,./labelsTr/pancreas_382.nii.gz
./imagesTr/pancreas_035.nii.gz,./labelsTr/pancreas_035.nii.gz
./imagesTr/pancreas_160.nii.gz,./labelsTr/pancreas_160.nii.gz
./imagesTr/pancreas_103.nii.gz,./labelsTr/pancreas_103.nii.gz
./imagesTr/pancreas_172.nii.gz,./labelsTr/pancreas_172.nii.gz
./imagesTr/pancreas_011.nii.gz,./labelsTr/pancreas_011.nii.gz
./imagesTr/pancreas_300.nii.gz,./labelsTr/pancreas_300.nii.gz
./imagesTr/pancreas_200.nii.gz,./labelsTr/pancreas_200.nii.gz
./imagesTr/pancreas_355.nii.gz,./labelsTr/pancreas_355.nii.gz
./imagesTr/pancreas_404.nii.gz,./labelsTr/pancreas_404.nii.gz
./imagesTr/pancreas_255.nii.gz,./labelsTr/pancreas_255.nii.gz
./imagesTr/pancreas_228.nii.gz,./labelsTr/pancreas_228.nii.gz
./imagesTr/pancreas_181.nii.gz,./labelsTr/pancreas_181.nii.gz
./imagesTr/pancreas_336.nii.gz,./labelsTr/pancreas_336.nii.gz
./imagesTr/pancreas_081.nii.gz,./labelsTr/pancreas_081.nii.gz
./imagesTr/pancreas_236.nii.gz,./labelsTr/pancreas_236.nii.gz
./imagesTr/pancreas_247.nii.gz,./labelsTr/pancreas_247.nii.gz
./imagesTr/pancreas_416.nii.gz,./labelsTr/pancreas_416.nii.gz
./imagesTr/pancreas_347.nii.gz,./labelsTr/pancreas_347.nii.gz
./imagesTr/pancreas_259.nii.gz,./labelsTr/pancreas_259.nii.gz
./imagesTr/pancreas_224.nii.gz,./labelsTr/pancreas_224.nii.gz
./imagesTr/pancreas_193.nii.gz,./labelsTr/pancreas_193.nii.gz
./imagesTr/pancreas_302.nii.gz,./labelsTr/pancreas_302.nii.gz
./imagesTr/pancreas_361.nii.gz,./labelsTr/pancreas_361.nii.gz
./imagesTr/pancreas_261.nii.gz,./labelsTr/pancreas_261.nii.gz
./imagesTr/pancreas_210.nii.gz,./labelsTr/pancreas_210.nii.gz
./imagesTr/pancreas_310.nii.gz,./labelsTr/pancreas_310.nii.gz
./imagesTr/pancreas_226.nii.gz,./labelsTr/pancreas_226.nii.gz
./imagesTr/pancreas_414.nii.gz,./labelsTr/pancreas_414.nii.gz
./imagesTr/pancreas_345.nii.gz,./labelsTr/pancreas_345.nii.gz
./imagesTr/pancreas_418.nii.gz,./labelsTr/pancreas_418.nii.gz
./imagesTr/pancreas_249.nii.gz,./labelsTr/pancreas_249.nii.gz
./imagesTr/pancreas_183.nii.gz,./labelsTr/pancreas_183.nii.gz
