image,label
./imagesTr/hepaticvessel_001.nii.gz,./labelsTr/hepaticvessel_001.nii.gz
./imagesTr/hepaticvessel_002.nii.gz,./labelsTr/hepaticvessel_002.nii.gz
./imagesTr/hepaticvessel_005.nii.gz,./labelsTr/hepaticvessel_005.nii.gz
./imagesTr/hepaticvessel_007.nii.gz,./labelsTr/hepaticvessel_007.nii.gz
./imagesTr/hepaticvessel_008.nii.gz,./labelsTr/hepaticvessel_008.nii.gz
./imagesTr/hepaticvessel_010.nii.gz,./labelsTr/hepaticvessel_010.nii.gz
./imagesTr/hepaticvessel_018.nii.gz,./labelsTr/hepaticvessel_018.nii.gz
./imagesTr/hepaticvessel_019.nii.gz,./labelsTr/hepaticvessel_019.nii.gz
./imagesTr/hepaticvessel_020.nii.gz,./labelsTr/hepaticvessel_020.nii.gz
./imagesTr/hepaticvessel_022.nii.gz,./labelsTr/hepaticvessel_022.nii.gz
./imagesTr/hepaticvessel_023.nii.gz,./labelsTr/hepaticvessel_023.nii.gz
./imagesTr/hepaticvessel_025.nii.gz,./labelsTr/hepaticvessel_025.nii.gz
./imagesTr/hepaticvessel_029.nii.gz,./labelsTr/hepaticvessel_029.nii.gz
./imagesTr/hepaticvessel_031.nii.gz,./labelsTr/hepaticvessel_031.nii.gz
./imagesTr/hepaticvessel_033.nii.gz,./labelsTr/hepaticvessel_033.nii.gz
./imagesTr/hepaticvessel_040.nii.gz,./labelsTr/hepaticvessel_040.nii.gz
./imagesTr/hepaticvessel_042.nii.gz,./labelsTr/hepaticvessel_042.nii.gz
./imagesTr/hepaticvessel_044.nii.gz,./labelsTr/hepaticvessel_044.nii.gz
./imagesTr/hepaticvessel_049.nii.gz,./labelsTr/hepaticvessel_049.nii.gz
./imagesTr/hepaticvessel_050.nii.gz,./labelsTr/hepaticvessel_050.nii.gz
./imagesTr/hepaticvessel_051.nii.gz,./labelsTr/hepaticvessel_051.nii.gz
./imagesTr/hepaticvessel_052.nii.gz,./labelsTr/hepaticvessel_052.nii.gz
./imagesTr/hepaticvessel_057.nii.gz,./labelsTr/hepaticvessel_057.nii.gz
./imagesTr/hepaticvessel_058.nii.gz,./labelsTr/hepaticvessel_058.nii.gz
./imagesTr/hepaticvessel_061.nii.gz,./labelsTr/hepaticvessel_061.nii.gz
./imagesTr/hepaticvessel_065.nii.gz,./labelsTr/hepaticvessel_065.nii.gz
./imagesTr/hepaticvessel_067.nii.gz,./labelsTr/hepaticvessel_067.nii.gz
./imagesTr/hepaticvessel_070.nii.gz,./labelsTr/hepaticvessel_070.nii.gz
./imagesTr/hepaticvessel_071.nii.gz,./labelsTr/hepaticvessel_071.nii.gz
./imagesTr/hepaticvessel_072.nii.gz,./labelsTr/hepaticvessel_072.nii.gz
./imagesTr/hepaticvessel_075.nii.gz,./labelsTr/hepaticvessel_075.nii.gz
./imagesTr/hepaticvessel_077.nii.gz,./labelsTr/hepaticvessel_077.nii.gz
./imagesTr/hepaticvessel_079.nii.gz,./labelsTr/hepaticvessel_079.nii.gz
./imagesTr/hepaticvessel_080.nii.gz,./labelsTr/hepaticvessel_080.nii.gz
./imagesTr/hepaticvessel_081.nii.gz,./labelsTr/hepaticvessel_081.nii.gz
./imagesTr/hepaticvessel_082.nii.gz,./labelsTr/hepaticvessel_082.nii.gz
./imagesTr/hepaticvessel_083.nii.gz,./labelsTr/hepaticvessel_083.nii.gz
./imagesTr/hepaticvessel_084.nii.gz,./labelsTr/hepaticvessel_084.nii.gz
./imagesTr/hepaticvessel_085.nii.gz,./labelsTr/hepaticvessel_085.nii.gz
./imagesTr/hepaticvessel_086.nii.gz,./labelsTr/hepaticvessel_086.nii.gz
./imagesTr/hepaticvessel_088.nii.gz,./labelsTr/hepaticvessel_088.nii.gz
./imagesTr/hepaticvessel_089.nii.gz,./labelsTr/hepaticvessel_089.nii.gz
./imagesTr/hepaticvessel_090.nii.gz,./labelsTr/hepaticvessel_090.nii.gz
./imagesTr/hepaticvessel_093.nii.gz,./labelsTr/hepaticvessel_093.nii.gz
./imagesTr/hepaticvessel_094.nii.gz,./labelsTr/hepaticvessel_094.nii.gz
./imagesTr/hepaticvessel_096.nii.gz,./labelsTr/hepaticvessel_096.nii.gz
./imagesTr/hepaticvessel_097.nii.gz,./labelsTr/hepaticvessel_097.nii.gz
./imagesTr/hepaticvessel_098.nii.gz,./labelsTr/hepaticvessel_098.nii.gz
./imagesTr/hepaticvessel_102.nii.gz,./labelsTr/hepaticvessel_102.nii.gz
./imagesTr/hepaticvessel_108.nii.gz,./labelsTr/hepaticvessel_108.nii.gz
./imagesTr/hepaticvessel_110.nii.gz,./labelsTr/hepaticvessel_110.nii.gz
./imagesTr/hepaticvessel_111.nii.gz,./labelsTr/hepaticvessel_111.nii.gz
./imagesTr/hepaticvessel_112.nii.gz,./labelsTr/hepaticvessel_112.nii.gz
./imagesTr/hepaticvessel_113.nii.gz,./labelsTr/hepaticvessel_113.nii.gz
./imagesTr/hepaticvessel_116.nii.gz,./labelsTr/hepaticvessel_116.nii.gz
./imagesTr/hepaticvessel_117.nii.gz,./labelsTr/hepaticvessel_117.nii.gz
./imagesTr/hepaticvessel_119.nii.gz,./labelsTr/hepaticvessel_119.nii.gz
./imagesTr/hepaticvessel_121.nii.gz,./labelsTr/hepaticvessel_121.nii.gz
./imagesTr/hepaticvessel_125.nii.gz,./labelsTr/hepaticvessel_125.nii.gz
./imagesTr/hepaticvessel_127.nii.gz,./labelsTr/hepaticvessel_127.nii.gz
./imagesTr/hepaticvessel_128.nii.gz,./labelsTr/hepaticvessel_128.nii.gz
./imagesTr/hepaticvessel_129.nii.gz,./labelsTr/hepaticvessel_129.nii.gz
./imagesTr/hepaticvessel_131.nii.gz,./labelsTr/hepaticvessel_131.nii.gz
./imagesTr/hepaticvessel_133.nii.gz,./labelsTr/hepaticvessel_133.nii.gz
./imagesTr/hepaticvessel_136.nii.gz,./labelsTr/hepaticvessel_136.nii.gz
./imagesTr/hepaticvessel_137.nii.gz,./labelsTr/hepaticvessel_137.nii.gz
./imagesTr/hepaticvessel_138.nii.gz,./labelsTr/hepaticvessel_138.nii.gz
./imagesTr/hepaticvessel_139.nii.gz,./labelsTr/hepaticvessel_139.nii.gz
./imagesTr/hepaticvessel_141.nii.gz,./labelsTr/hepaticvessel_141.nii.gz
./imagesTr/hepaticvessel_142.nii.gz,./labelsTr/hepaticvessel_142.nii.gz
./imagesTr/hepaticvessel_146.nii.gz,./labelsTr/hepaticvessel_146.nii.gz
./imagesTr/hepaticvessel_147.nii.gz,./labelsTr/hepaticvessel_147.nii.gz
./imagesTr/hepaticvessel_148.nii.gz,./labelsTr/hepaticvessel_148.nii.gz
./imagesTr/hepaticvessel_150.nii.gz,./labelsTr/hepaticvessel_150.nii.gz
./imagesTr/hepaticvessel_151.nii.gz,./labelsTr/hepaticvessel_151.nii.gz
./imagesTr/hepaticvessel_158.nii.gz,./labelsTr/hepaticvessel_158.nii.gz
./imagesTr/hepaticvessel_159.nii.gz,./labelsTr/hepaticvessel_159.nii.gz
./imagesTr/hepaticvessel_160.nii.gz,./labelsTr/hepaticvessel_160.nii.gz
./imagesTr/hepaticvessel_163.nii.gz,./labelsTr/hepaticvessel_163.nii.gz
./imagesTr/hepaticvessel_164.nii.gz,./labelsTr/hepaticvessel_164.nii.gz
./imagesTr/hepaticvessel_167.nii.gz,./labelsTr/hepaticvessel_167.nii.gz
./imagesTr/hepaticvessel_171.nii.gz,./labelsTr/hepaticvessel_171.nii.gz
./imagesTr/hepaticvessel_172.nii.gz,./labelsTr/hepaticvessel_172.nii.gz
./imagesTr/hepaticvessel_173.nii.gz,./labelsTr/hepaticvessel_173.nii.gz
./imagesTr/hepaticvessel_174.nii.gz,./labelsTr/hepaticvessel_174.nii.gz
./imagesTr/hepaticvessel_177.nii.gz,./labelsTr/hepaticvessel_177.nii.gz
./imagesTr/hepaticvessel_179.nii.gz,./labelsTr/hepaticvessel_179.nii.gz
./imagesTr/hepaticvessel_181.nii.gz,./labelsTr/hepaticvessel_181.nii.gz
./imagesTr/hepaticvessel_183.nii.gz,./labelsTr/hepaticvessel_183.nii.gz
./imagesTr/hepaticvessel_184.nii.gz,./labelsTr/hepaticvessel_184.nii.gz
./imagesTr/hepaticvessel_189.nii.gz,./labelsTr/hepaticvessel_189.nii.gz
./imagesTr/hepaticvessel_192.nii.gz,./labelsTr/hepaticvessel_192.nii.gz
./imagesTr/hepaticvessel_193.nii.gz,./labelsTr/hepaticvessel_193.nii.gz
./imagesTr/hepaticvessel_194.nii.gz,./labelsTr/hepaticvessel_194.nii.gz
./imagesTr/hepaticvessel_195.nii.gz,./labelsTr/hepaticvessel_195.nii.gz
./imagesTr/hepaticvessel_197.nii.gz,./labelsTr/hepaticvessel_197.nii.gz
./imagesTr/hepaticvessel_199.nii.gz,./labelsTr/hepaticvessel_199.nii.gz
./imagesTr/hepaticvessel_200.nii.gz,./labelsTr/hepaticvessel_200.nii.gz
./imagesTr/hepaticvessel_201.nii.gz,./labelsTr/hepaticvessel_201.nii.gz
./imagesTr/hepaticvessel_203.nii.gz,./labelsTr/hepaticvessel_203.nii.gz
./imagesTr/hepaticvessel_206.nii.gz,./labelsTr/hepaticvessel_206.nii.gz
./imagesTr/hepaticvessel_208.nii.gz,./labelsTr/hepaticvessel_208.nii.gz
./imagesTr/hepaticvessel_209.nii.gz,./labelsTr/hepaticvessel_209.nii.gz
./imagesTr/hepaticvessel_211.nii.gz,./labelsTr/hepaticvessel_211.nii.gz
./imagesTr/hepaticvessel_213.nii.gz,./labelsTr/hepaticvessel_213.nii.gz
./imagesTr/hepaticvessel_214.nii.gz,./labelsTr/hepaticvessel_214.nii.gz
./imagesTr/hepaticvessel_217.nii.gz,./labelsTr/hepaticvessel_217.nii.gz
./imagesTr/hepaticvessel_218.nii.gz,./labelsTr/hepaticvessel_218.nii.gz
./imagesTr/hepaticvessel_219.nii.gz,./labelsTr/hepaticvessel_219.nii.gz
./imagesTr/hepaticvessel_222.nii.gz,./labelsTr/hepaticvessel_222.nii.gz
./imagesTr/hepaticvessel_224.nii.gz,./labelsTr/hepaticvessel_224.nii.gz
./imagesTr/hepaticvessel_225.nii.gz,./labelsTr/hepaticvessel_225.nii.gz
./imagesTr/hepaticvessel_227.nii.gz,./labelsTr/hepaticvessel_227.nii.gz
./imagesTr/hepaticvessel_229.nii.gz,./labelsTr/hepaticvessel_229.nii.gz
./imagesTr/hepaticvessel_231.nii.gz,./labelsTr/hepaticvessel_231.nii.gz
./imagesTr/hepaticvessel_233.nii.gz,./labelsTr/hepaticvessel_233.nii.gz
./imagesTr/hepaticvessel_234.nii.gz,./labelsTr/hepaticvessel_234.nii.gz
./imagesTr/hepaticvessel_235.nii.gz,./labelsTr/hepaticvessel_235.nii.gz
./imagesTr/hepaticvessel_236.nii.gz,./labelsTr/hepaticvessel_236.nii.gz
./imagesTr/hepaticvessel_237.nii.gz,./labelsTr/hepaticvessel_237.nii.gz
./imagesTr/hepaticvessel_242.nii.gz,./labelsTr/hepaticvessel_242.nii.gz
./imagesTr/hepaticvessel_244.nii.gz,./labelsTr/hepaticvessel_244.nii.gz
./imagesTr/hepaticvessel_245.nii.gz,./labelsTr/hepaticvessel_245.nii.gz
./imagesTr/hepaticvessel_246.nii.gz,./labelsTr/hepaticvessel_246.nii.gz
./imagesTr/hepaticvessel_248.nii.gz,./labelsTr/hepaticvessel_248.nii.gz
./imagesTr/hepaticvessel_256.nii.gz,./labelsTr/hepaticvessel_256.nii.gz
./imagesTr/hepaticvessel_258.nii.gz,./labelsTr/hepaticvessel_258.nii.gz
./imagesTr/hepaticvessel_259.nii.gz,./labelsTr/hepaticvessel_259.nii.gz
./imagesTr/hepaticvessel_262.nii.gz,./labelsTr/hepaticvessel_262.nii.gz
./imagesTr/hepaticvessel_263.nii.gz,./labelsTr/hepaticvessel_263.nii.gz
./imagesTr/hepaticvessel_265.nii.gz,./labelsTr/hepaticvessel_265.nii.gz
./imagesTr/hepaticvessel_268.nii.gz,./labelsTr/hepaticvessel_268.nii.gz
./imagesTr/hepaticvessel_269.nii.gz,./labelsTr/hepaticvessel_269.nii.gz
./imagesTr/hepaticvessel_272.nii.gz,./labelsTr/hepaticvessel_272.nii.gz
./imagesTr/hepaticvessel_275.nii.gz,./labelsTr/hepaticvessel_275.nii.gz
./imagesTr/hepaticvessel_278.nii.gz,./labelsTr/hepaticvessel_278.nii.gz
./imagesTr/hepaticvessel_279.nii.gz,./labelsTr/hepaticvessel_279.nii.gz
./imagesTr/hepaticvessel_280.nii.gz,./labelsTr/hepaticvessel_280.nii.gz
./imagesTr/hepaticvessel_282.nii.gz,./labelsTr/hepaticvessel_282.nii.gz
./imagesTr/hepaticvessel_284.nii.gz,./labelsTr/hepaticvessel_284.nii.gz
./imagesTr/hepaticvessel_286.nii.gz,./labelsTr/hepaticvessel_286.nii.gz
./imagesTr/hepaticvessel_290.nii.gz,./labelsTr/hepaticvessel_290.nii.gz
./imagesTr/hepaticvessel_291.nii.gz,./labelsTr/hepaticvessel_291.nii.gz
./imagesTr/hepaticvessel_293.nii.gz,./labelsTr/hepaticvessel_293.nii.gz
./imagesTr/hepaticvessel_294.nii.gz,./labelsTr/hepaticvessel_294.nii.gz
./imagesTr/hepaticvessel_296.nii.gz,./labelsTr/hepaticvessel_296.nii.gz
./imagesTr/hepaticvessel_297.nii.gz,./labelsTr/hepaticvessel_297.nii.gz
./imagesTr/hepaticvessel_299.nii.gz,./labelsTr/hepaticvessel_299.nii.gz
./imagesTr/hepaticvessel_303.nii.gz,./labelsTr/hepaticvessel_303.nii.gz
./imagesTr/hepaticvessel_305.nii.gz,./labelsTr/hepaticvessel_305.nii.gz
./imagesTr/hepaticvessel_308.nii.gz,./labelsTr/hepaticvessel_308.nii.gz
./imagesTr/hepaticvessel_309.nii.gz,./labelsTr/hepaticvessel_309.nii.gz
